negocio	texto	estrellas	estilo
Restaurante	Mucho minimalismo pero las sillas son insufribles para una cena de dos horas. La ergonomía no debería sacrificarse por el diseño.	2	crítico
Mesón	El guiso de ternera tenía demasiados nervios y grasa.	2	crítico
Cervecería	Llevé a mi padre por su santo. Él quería una caña de toda la vida y el camarero se puso a explicarle notas de cata de lúpulo durante diez minutos. Mi padre se desesperó, aunque la cerveza al final no estaba mal.	3	anecdótico
Cafetería	La terraza es agradable, pero los taburetes son algo incómodos para estancias largas.	3	constructivo
Pub	Vine solo a tomar una birra y terminé haciendo amigos en la barra gracias al buen rollo que se respira.	5	anecdótico
Cafetería	Mediocre, no destaca en nada.	3	breve
Bar de carretera	¡Espectacular atención! Nos atendieron volando y con muchísima educación. La comida está a otro nivel, muy sabrosa y casera.	5	entusiasta
Pub	Gente muy maja.	5	breve
Cervecería	Tardan una eternidad en traer la cuenta. Un sistema más ágil de cobro haría que la rotación de mesas fuera mejor para ellos.	2	constructivo
Restaurante	Acústica muy cuidada, se puede hablar sin problemas. La música ambiente está a un volumen ideal.	5	constructivo
Bar de carretera	Pedimos el menú del día y la carne estaba recalentada en el microondas, chiclosa y sin sabor alguno.	2	crítico
Pub	Llevé a mi pareja por nuestro aniversario y la música era perfecta para charlar, pero el aire acondicionado estaba un pelín fuerte.	4	anecdótico
Pub	¡Servicio inmejorable! Los camareros son súper rápidos y simpatiquísimos, ¡un diez!	5	entusiasta
Mesón	El cordero está de muerte, se deshace en la boca. ¡Un auténtico espectáculo!	5	coloquial
Restaurante	Incluso el servicio de pan y aceites es una experiencia gourmet por derecho propio.	5	neutral
Restaurante	Atmósfera selecta y cuidada. La secuencia de aperitivos fue el punto álgido del menú.	4	formal
Cafetería	Café de especialidad de verdad.	5	breve
Bar de carretera	Comida buena. El parking es enorme y cómodo.	4	breve
Bar	Un horror. Los torreznos crujen tanto que no escuchaba los audios de WhatsApp de 5 minutos que me mandaba mi madre. Gracias por nada.	4	sarcástico
Cafetería	Los vasos de agua se sirven por cortesía si el cliente lo solicita tras el café.	4	neutral
Bar	El sitio no está mal para una caña rápida, pero el servicio es tan lento que se te quitan las ganas de pedir la segunda.	3	crítico
Cafetería	Todo riquísimo. Volveré sin duda.	5	breve
Pub	Precios inflados que no se corresponden con el nivel de servicio ofrecido. Pasable.	3	formal
Cervecería	Mucho ruido y pocas nueces. Las birras del súper están más frías.	2	coloquial
Cervecería	Precios algo altos para lo que es el local.	3	breve
Bar	Poca profesionalidad. Me preguntaron si estaba todo a mi gusto y no pude encontrar ni una pega para quejarme. Me habéis roto la racha.	4	sarcástico
Bar de carretera	Buen bocata y trato amable.	4	breve
Pub	Me encontré un bicho en la barra y casi me da un parraque. Un poco más de limpieza no vendría mal.	2	coloquial
Cafetería	Pedí una tostada de aguacate y el producto era fresquísimo, pero el tamaño del pan era algo escaso.	4	anecdótico
Mesón	Nos sentamos en la terraza bajo la parra y fue la tarde más tranquila que he pasado en años, con un porrón de vino fresquito.	5	anecdótico
Cafetería	Los productos se corresponden con las descripciones de la carta y el café es de calidad.	5	neutral
Cafetería	Sitio moderno y café exquisito.	5	breve
Restaurante	La limpieza, el orden y la estética del local son simplemente impecables.	5	neutral
Bar de carretera	Un local con solera, especialmente la de las mesas, que tienen un ligero balanceo rítmico. El menú es básico pero te quita el hambre de golpe.	3	sarcástico
Mesón	Manteles con manchas de los clientes anteriores. Higiene bajo mínimos.	1	crítico
Pub	La cerveza de grifo está muy bien tirada, pero a veces se quedan sin stock de las raras.	4	coloquial
Bar	¡Buenísimo!	5	breve
Cafetería	Me sorprendió que tuvieran tantas opciones de tés, pero me lo sirvieron sin nada para dejar la bolsa.	4	anecdótico
Mesón	La tarta de la abuela es sencilla y de elaboración artesana.	4	neutral
Pub	Me gusta que acepten mascotas, pero el suelo estaba un poco pegajoso por la zona de barra.	4	coloquial
Pub	Sitio con mucha personalidad, aunque el humo de la cocina se colaba un poco en el salón.	4	coloquial
Pub	Pedí un whisky de malta y tenían una selección buenísima, lástima que no tuvieran las piedras de granito para enfriarlo.	4	anecdótico
Restaurante	Está bien para una vez, pero no me entusiasmó.	3	breve
Cervecería	Un puntazo de sitio para celebrar cualquier cosa con amigos.	5	coloquial
Cafetería	Un refugio de paz con un servicio de tés e infusiones de alta gama. Excelente.	5	formal
Cafetería	El local está bien climatizado y la calidad de la repostería es correcta para un consumo diario.	4	neutral
Cervecería	Me gusta la variedad de copas según el estilo de cerveza, pero algunas pesan demasiado y son algo incómodas de manejar.	4	constructivo
Restaurante	Nula disposición para adaptar el menú a restricciones dietéticas comunicadas previamente.	1	formal
Pub	Relación calidad-precio inmejorable. De los pocos sitios que quedan así.	5	coloquial
Cafetería	Tostadas grandes, café algo flojo.	4	breve
Pub	El sitio es mítico, pero se nota que le falta un buen lavado de cara, está todo un poco trallado.	3	coloquial
Bar de carretera	El parking no tiene sombra, pero el comedor tiene ese frescor de bodega que te quita el calor y las ganas de volver a la autovía.	4	sarcástico
Mesón	El asado de cordero presenta una textura tierna y piel crujiente.	5	neutral
Bar	Ambiente tranquilo y bien.	4	breve
Pub	Insuperable.	5	breve
Bar	La ración de calamares era muy pequeña.	2	neutral
Pub	Ambientazo siempre.	5	breve
Mesón	Vajilla descascarillada que debería haber sido retirada.	2	crítico
Pub	Estábamos sentados fuera y empezó a refrescar; el personal movió las estufas para que estuviéramos cómodos.	5	anecdótico
Restaurante	El maridaje propuesto por el sumiller fue sencillamente impecable, elevando cada pase a otro nivel.	5	entusiasta
Cafetería	Mejor irse a otro lado.	1	breve
Restaurante	Limpieza y orden impecables. Sugeriría ampliar ligeramente la selección de destilados premium.	5	constructivo
Pub	Falta de control del aforo que compromete el confort y la seguridad de los clientes.	2	formal
Pub	¡Me encanta la vibra de este pub! Los camareros son unos auténticos cracks, aunque el sábado estaba tan a tope que tardaron un poco.	4	entusiasta
Bar de carretera	Bocadillos enormes, aunque el embutido podría ser de algo más de calidad por el precio que pagas.	4	crítico
Pub	Buena acústica que permite disfrutar de la música sin impedir la conversación. Profesional.	4	formal
Cafetería	El té matcha está bien preparado, aunque me gustaría que ofrecieran la opción de batirlo de forma tradicional.	4	constructivo
Bar	Precios muy altos para la baja calidad ofrecida.	1	neutral
Bar	Súper atentos.	5	breve
Cafetería	¡Brutal! La repostería casera es una auténtica delicia. ¡Volveré mañana mismo!	5	entusiasta
Bar de carretera	¡Excelente atención al cliente! Te reciben con una sonrisa. La comida está muy buena, solo que me pareció un pelín oscuro el comedor.	4	entusiasta
Pub	El reservado es una estafa. Cuatro vallas y una botella de alcohol mediocre a precio de oro.	1	coloquial
Bar de carretera	¡Impresionante! El trato del camarero fue de hotel de cinco estrellas. La comida llegó caliente y riquísima en menos de cinco minutos.	5	entusiasta
Bar	¡Me ha encantado la música! Crea un ambiente genial para disfrutar de un buen vino.	4	entusiasta
Restaurante	Platos con nombres interminables que luego resultan ser lo de siempre pero mal hecho.	2	crítico
Restaurante	Petit fours excelentes para cerrar la cena.	4	breve
Cervecería	¡Brutal la Amber Ale! Hacía años que no disfrutaba tanto de una cerveza. El ambiente es joven y muy vibrante. ¡A por todas!	5	entusiasta
Pub	La decoración de Halloween era tan currada que estuvimos media hora haciéndonos fotos antes de pedir.	5	anecdótico
Pub	Pedí unos nachos para acompañar la ronda y estaban ricos, pero la ración era la mitad de lo que recordaba de la última vez.	3	anecdótico
Bar	El sitio está bien, pero le falta un poco de personalidad o algo que lo distinga. ¡Ánimo con las mejoras, tiene potencial!	3	constructivo
Pub	No vuelvo.	2	breve
Cafetería	El aroma en el interior del local es neutro con leves notas a café tostado.	3	neutral
Bar de carretera	La comida se sirvió fría y la respuesta del personal fue de indiferencia total.	2	formal
Mesón	Las mesas están tan juntas que oyes la vida del vecino. Separarlas un poco daría más intimidad.	3	constructivo
Bar	Rapidez y amabilidad.	5	breve
Cafetería	La luz natural que entra por la mañana es preciosa para fotos, aunque hace un poco de calor junto al cristal.	4	anecdótico
Bar	¡La atención ha sido de lujo! Nos hemos sentido súper bien cuidados en todo momento.	4	entusiasta
Restaurante	Comida con pelo incluido y ni pidieron perdón.	1	breve
Bar de carretera	Oferta limitada en opciones saludables o para dietas especiales. Cumple su función.	3	formal
Restaurante	El maître fue condescendiente cuando señalamos que el vino tenía sabor a corcho. Finalmente lo cambió, pero de muy malas formas.	2	crítico
Pub	¡Todo un acierto! Calidad-precio imbatible para el nivelón que tienen de producto.	5	entusiasta
Cervecería	Sitio de postureo total donde lo que menos importa es el cliente. No lo recomiendo para nada.	1	coloquial
Pub	¡Súper recomendado para el post-cena! Muy animado, ¡aunque el humo de la entrada era un pelín molesto!	4	entusiasta
Bar de carretera	Limpio y funcional. La comida no sorprende pero cumple, aunque el pan de los bocadillos es demasiado industrial.	4	crítico
Bar de carretera	El café es tan fuerte que me ha quitado el sueño y las ganas de volver a consumir cafeína en lo que queda de año. Útil, supongo.	2	sarcástico
Restaurante	La selección de quesos y panes artesanales añade un valor diferencial a la experiencia.	5	formal
Pub	Me encantó el estilo 'vintage', pero las sillas de madera son tan duras que a la hora ya no sabes cómo sentarte.	3	anecdótico
Pub	Ayer probé su nueva cerveza artesana y me encantó el sabor, pero me la sirvieron en un vaso que no era el suyo.	4	anecdótico
Cervecería	La ubicación es perfecta y el local muy limpio, aunque el sistema de reserva online falla a veces y toca llamar por teléfono.	4	constructivo
Bar	Fuimos a ver el fútbol. Tienen varias pantallas y el volumen estaba bien para poder hablar.	4	neutral
Restaurante	Entrantes muy prometedores, pero el plato principal de carne no cumplió las expectativas.	3	constructivo
Bar	Demasiado humo de la cocina llega a la zona de mesas. Salimos del bar con olor a comida en toda la ropa.	3	crítico
Mesón	Bien de sabor pero me parece que le falta limpieza.	3	breve
Bar de carretera	Mobiliario algo antiguo aunque el servicio cumple con los requisitos mínimos de higiene.	3	formal
Mesón	El personal tiene una alegría desbordante, tanto que parece que les deben tres meses de sueldo.	2	sarcástico
Restaurante	Un restaurante con personalidad y buena mano en la cocina. El salón es amplio y las mesas guardan una distancia adecuada para la privacidad.	4	neutral
